reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-4949,Fourniture de mobilier de bureau,43 089 780 DH,2025-07-15,Ministère de l'Intérieur,"39, boulevard Mary, Casablanca",01 45 25 81 62,+33 5 16 15 79 28,268 jours,131 jours,137 jours,Registre de commerce; Caution provisoire; Attestation fiscale; Certificat de qualification et classification; Procuration (si applicable),Certificats de conformité; Attestations de formation; Note technique détaillée,Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,MBA,14 ans,Formation; Expertise sectorielle; Normes ISO; Planification; Gestion de projet,Master en management,5 ans,Normes ISO; Contrôle qualité; Planification; Expertise sectorielle,Diplôme d'ingénieur,13 ans,Formation; Contrôle qualité; Normes ISO; Expertise sectorielle,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-7066,Étude technique pour l'aménagement urbain,31 447 044 DH,2025-07-18,Office National de l'Électricité et de l'Eau Potable,"98, rue de De Oliveira, Casablanca",03 25 62 71 04,0596851590,113 jours,20 jours,93 jours,Attestation CNSS; Procuration (si applicable); Attestation fiscale; Registre de commerce,CV des intervenants; Certificats de conformité; Planning d'exécution; Attestations de formation,Devis quantitatif et estimatif; Bilan des 3 dernières années; Bordereau des prix unitaires,Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce,Master spécialisé,20 ans,Normes ISO; Audit technique; Formation; Gestion de projet,MBA,6 ans,Analyse technique; Normes ISO; Management d'équipe,Ingénieur d'État,5 ans,Management d'équipe; Normes ISO; Planification; Formation,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-8986,Services de sécurité et gardiennage,42 267 032 DH,2025-07-13,Barid Al-Maghrib,"5, rue Véronique Raynaud, El Jadida",0463850900,01 78 66 74 87,231 jours,91 jours,140 jours,Certificat de qualification et classification; Attestation CNSS; Attestation fiscale; Caution provisoire; Procuration (si applicable),Note technique détaillée; Attestations de formation; Références similaires; Certificats de conformité,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Acte d'engagement,Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum,Ingénieur d'État,10 ans,Analyse technique; Contrôle qualité; Audit technique; Gestion de projet,MBA,9 ans,Formation; Planification; Analyse technique; Management d'équipe,MBA,5 ans,Formation; Normes ISO; Analyse technique; Management d'équipe; Audit technique,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-6119,Travaux de construction d'un centre de santé,4 336 938 DH,2025-08-10,Agence Nationale de la Conservation Foncière,"133, chemin Rey, Mohammedia",0237196754,+33 (0)2 99 04 30 08,339 jours,126 jours,213 jours,Procuration (si applicable); Caution provisoire; Attestation CNSS; Certificat de qualification et classification,Certificats de conformité; Note technique détaillée; Références similaires; CV des intervenants,Acte d'engagement; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce,Ingénieur d'État,16 ans,Planification; Formation; Audit technique,Ingénieur d'État,12 ans,Planification; Contrôle qualité; Expertise sectorielle; Formation,Doctorat,8 ans,Contrôle qualité; Normes ISO; Audit technique,70%,30%,60%,70%,30%,True,www.marchespublics.gov.ma
AO-2025-4175,Prestation de services de nettoyage,26 211 924 DH,2025-07-19,Barid Al-Maghrib,"90, rue de Louis, Safi",03 66 40 34 83,0430910132,224 jours,90 jours,134 jours,Attestation CNSS; Registre de commerce; Attestation fiscale; Procuration (si applicable); Caution provisoire,Références similaires; Planning d'exécution; CV des intervenants; Certificats de conformité,Acte d'engagement; Bordereau des prix unitaires; Bilan des 3 dernières années,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié,Diplôme d'ingénieur,12 ans,Planification; Gestion de projet; Audit technique,Ingénieur d'État,11 ans,Expertise sectorielle; Audit technique; Normes ISO,MBA,11 ans,Contrôle qualité; Audit technique; Gestion de projet,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
AO-2025-6994,Prestation de services de nettoyage,24 714 566 DH,2025-08-01,Ministère de l'Éducation,"avenue Gilbert Jacques, Kenitra",0240425976,05 18 22 71 40,113 jours,52 jours,61 jours,Attestation CNSS; Certificat de qualification et classification; Attestation fiscale; Registre de commerce; Procuration (si applicable),Certificats de conformité; Références similaires; Planning d'exécution; Note technique détaillée; CV des intervenants,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Attestation bancaire,Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,MBA,19 ans,Contrôle qualité; Analyse technique; Formation; Management d'équipe,Doctorat,20 ans,Management d'équipe; Gestion de projet; Formation; Analyse technique; Audit technique,Master spécialisé,16 ans,Gestion de projet; Formation; Analyse technique; Audit technique,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
AO-2025-5540,Maintenance des équipements électriques,49 662 997 DH,2025-07-23,Caisse Nationale de Sécurité Sociale,"4, avenue Loiseau, Oujda",0633660811,+33 (0)4 37 79 16 55,244 jours,97 jours,147 jours,Registre de commerce; Attestation CNSS; Attestation fiscale; Certificat de qualification et classification; Caution provisoire,Certificats de conformité; Planning d'exécution; CV des intervenants,Devis quantitatif et estimatif; Bilan des 3 dernières années; Bordereau des prix unitaires,Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,Master en management,20 ans,Contrôle qualité; Formation; Planification,Master en management,8 ans,Expertise sectorielle; Gestion de projet; Contrôle qualité; Formation; Normes ISO,Ingénieur d'État,11 ans,Formation; Audit technique; Contrôle qualité; Management d'équipe; Analyse technique,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-6457,Fourniture et installation de matériel informatique,29 581 823 DH,2025-07-21,Barid Al-Maghrib,"90, rue Maillard, Oujda",0179173946,+33 3 55 20 02 50,80 jours,25 jours,55 jours,Attestation CNSS; Registre de commerce; Caution provisoire; Certificat de qualification et classification; Procuration (si applicable),Certificats de conformité; Note technique détaillée; Références similaires; CV des intervenants; Attestations de formation,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales,Diplôme d'ingénieur,20 ans,Expertise sectorielle; Gestion de projet; Planification,Ingénieur d'État,16 ans,Normes ISO; Contrôle qualité; Planification; Analyse technique; Audit technique,Diplôme d'ingénieur,13 ans,Management d'équipe; Gestion de projet; Audit technique; Planification,77%,23%,60%,77%,23%,True,www.marchespublics.gov.ma
AO-2025-8786,Fourniture de produits pharmaceutiques,47 406 238 DH,2025-07-17,Caisse Nationale de Sécurité Sociale,"55, chemin Océane Leblanc, Mohammedia",04 49 93 37 39,01 74 96 77 77,244 jours,77 jours,167 jours,Attestation CNSS; Certificat de qualification et classification; Registre de commerce,Références similaires; Planning d'exécution; CV des intervenants; Attestations de formation,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum,Ingénieur d'État,20 ans,Contrôle qualité; Audit technique; Formation; Management d'équipe; Expertise sectorielle,Ingénieur d'État,17 ans,Contrôle qualité; Expertise sectorielle; Formation; Normes ISO,Master spécialisé,8 ans,Formation; Audit technique; Management d'équipe; Expertise sectorielle,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-7956,Travaux de rénovation de bâtiments,37 075 852 DH,2025-07-17,Office National des Aéroports,"980, rue Susan Dupré, Tétouan",+33 (0)2 61 53 33 14,02 76 62 17 61,107 jours,47 jours,60 jours,Registre de commerce; Attestation fiscale; Attestation CNSS; Caution provisoire; Certificat de qualification et classification,Certificats de conformité; Attestations de formation; CV des intervenants; Planning d'exécution,Bordereau des prix unitaires; Attestation bancaire; Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé,MBA,8 ans,Formation; Analyse technique; Normes ISO; Planification,Master en management,20 ans,Normes ISO; Management d'équipe; Contrôle qualité,Ingénieur d'État,8 ans,Gestion de projet; Expertise sectorielle; Planification; Contrôle qualité,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
AO-2025-8728,Étude technique pour l'aménagement urbain,31 208 320 DH,2025-08-09,Ministère de l'Intérieur,"54, rue Lecoq, Mohammedia",06 81 04 22 12,04 82 62 54 87,101 jours,45 jours,56 jours,Procuration (si applicable); Registre de commerce; Attestation fiscale,Planning d'exécution; CV des intervenants; Note technique détaillée,Devis quantitatif et estimatif; Acte d'engagement; Chiffre d'affaires des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié,Master en management,16 ans,Expertise sectorielle; Management d'équipe; Analyse technique,MBA,13 ans,Planification; Analyse technique; Contrôle qualité; Management d'équipe,Master spécialisé,9 ans,Audit technique; Planification; Gestion de projet; Management d'équipe,68%,32%,60%,68%,32%,True,www.marchespublics.gov.ma
AO-2025-1975,Fourniture de mobilier de bureau,39 266 949 DH,2025-07-22,Ministère de l'Intérieur,"3, rue Mathilde David, Nador",+33 (0)3 27 70 60 96,+33 (0)2 32 10 38 32,349 jours,33 jours,316 jours,Registre de commerce; Attestation CNSS; Procuration (si applicable); Attestation fiscale,Certificats de conformité; Planning d'exécution; Note technique détaillée; Références similaires; CV des intervenants,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Acte d'engagement,Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum,Doctorat,5 ans,Formation; Contrôle qualité; Planification; Normes ISO,Master en management,17 ans,Planification; Audit technique; Gestion de projet,Ingénieur d'État,17 ans,Audit technique; Contrôle qualité; Normes ISO,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-9562,Fourniture et installation de matériel informatique,32 979 915 DH,2025-08-07,Ministère de l'Intérieur,"8, chemin Girard, Tétouan",0758437419,0475049059,246 jours,106 jours,140 jours,Attestation fiscale; Attestation CNSS; Certificat de qualification et classification,CV des intervenants; Certificats de conformité; Attestations de formation,Chiffre d'affaires des 3 dernières années; Acte d'engagement; Devis quantitatif et estimatif; Attestation bancaire,Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH,Diplôme d'ingénieur,9 ans,Gestion de projet; Expertise sectorielle; Planification; Contrôle qualité,Master spécialisé,18 ans,Contrôle qualité; Expertise sectorielle; Analyse technique; Formation,Ingénieur d'État,17 ans,Formation; Gestion de projet; Audit technique; Analyse technique,70%,30%,60%,70%,30%,True,www.marchespublics.gov.ma
AO-2025-9384,Fourniture de mobilier de bureau,16 022 882 DH,2025-07-22,Royal Air Maroc,"916, chemin de Vallée, Marrakech",0367805009,06 62 09 22 14,248 jours,53 jours,195 jours,Procuration (si applicable); Registre de commerce; Certificat de qualification et classification,CV des intervenants; Planning d'exécution; Certificats de conformité,Acte d'engagement; Devis quantitatif et estimatif; Attestation bancaire; Chiffre d'affaires des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH,Master spécialisé,20 ans,Expertise sectorielle; Management d'équipe; Gestion de projet; Normes ISO,Master spécialisé,7 ans,Expertise sectorielle; Contrôle qualité; Normes ISO; Audit technique; Management d'équipe,Doctorat,17 ans,Management d'équipe; Analyse technique; Contrôle qualité; Planification; Audit technique,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-8863,Prestation de services de nettoyage,10 682 825 DH,2025-08-04,Caisse Nationale de Sécurité Sociale,"67, rue de Marchand, Casablanca",+33 (0)3 51 07 62 32,0355280393,117 jours,33 jours,84 jours,Caution provisoire; Procuration (si applicable); Attestation fiscale; Registre de commerce; Certificat de qualification et classification,Attestations de formation; Références similaires; Certificats de conformité; CV des intervenants,Bordereau des prix unitaires; Attestation bancaire; Acte d'engagement; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,Diplôme d'ingénieur,19 ans,Gestion de projet; Audit technique; Expertise sectorielle; Contrôle qualité,Master spécialisé,8 ans,Gestion de projet; Contrôle qualité; Normes ISO; Formation; Expertise sectorielle,MBA,17 ans,Contrôle qualité; Expertise sectorielle; Formation; Gestion de projet; Analyse technique,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
